departure_date,airline_code,flight_number,source_airport,destination_airport,flight_status,departure_scheduled_time,departure_actual_time,arrival_scheduled_time,arrival_actual_time
2018-02-01,BA,358,LHR,LYS,LANDED,1517492100,1517492880,1517498100,1517498460
2018-02-01,9W,5055,LHR,YVR,LANDED,1517495400,1517497980,1517529900,1517532480
2018-02-01,BA,1306,LHR,ABZ,LANDED,1517472300,1517472480,1517478000,1517479200
2018-02-01,BA,368,LHR,MRS,LANDED,1517483400,1517483460,1517490300,1517490480
2018-02-01,AA,6391,LHR,DUB,LANDED,1517509200,1517508600,1517514300,1517512920
2018-02-01,BA,984,LHR,TXL,LANDED,1517489100,1517488740,1517496000,1517494860
2018-02-01,AA,6310,LHR,LIN,LANDED,1517470200,1517469780,1517477400,1517476320
2018-02-01,BA,27,LHR,HKG,LANDED,1517518200,1517517900,1517561100,1517560260
2018-02-01,EY,7998,LHR,DUB,LANDED,1517502000,1517503380,1517506800,1517506740
2018-02-01,AA,6134,LHR,JFK,LANDED,1517502300,1517502300,1517531400,1517531820
2018-02-01,GF,6607,LHR,JFK,LANDED,1517505300,1517504400,1517534700,1517534460
2018-02-01,RJ,3001,LHR,EDI,LANDED,1517505900,1517505540,1517511000,1517510640
2018-02-01,BA,826,LHR,DUB,LANDED,1517498400,1517498700,1517503800,1517503140
2018-02-01,JL,7109,LHR,HEL,LANDED,1517508900,1517509140,1517520000,1517519700
2018-02-01,AC,6002,LHR,BOM,LANDED,1517479500,1517478840,1517511600,1517513400
2018-02-01,JL,7845,LHR,MAD,LANDED,1517505000,1517505000,1517513700,1517513160
2018-02-01,QR,5547,LHR,DFW,LANDED,1517479800,1517480400,1517517300,1517517660
2018-02-01,LX,327,LHR,ZRH,LANDED,1517510400,1517510400,1517516700,1517515680
2018-02-01,BA,782,LHR,ARN,LANDED,1517499600,1517499180,1517508900,1517508600
2018-02-01,JL,7125,LHR,BUD,LANDED,1517508900,1517508540,1517517900,1517516700
2018-02-01,NH,212,LHR,HND,LANDED,1517511600,1517513760,1517554200,1517556360
2018-02-01,S7,4002,LHR,DME,LANDED,1517480100,1517479560,1517494500,1517493720
2018-02-01,AC,9941,LHR,OSL,LANDED,1517499300,1517499660,1517507100,1517506980
2018-02-01,SQ,305,LHR,SIN,LANDED,1517476200,1517475840,1517522700,1517521200
2018-02-01,AM,6022,LHR,CDG,LANDED,1517478000,1517478180,1517482800,1517482620
2018-02-01,AY,5467,LHR,PHL,LANDED,1517489100,1517491080,1517518500,1517522220
2018-02-01,GF,6657,LHR,MIA,LANDED,1517488500,1517488380,1517525400,1517523300
